日平均雲量(百分比) - 天文台
Daily Mean Amount of Cloud (%) at the Hong Kong Observatory
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2026,1,1,43,C
2026,1,2,24,C
2026,1,3,18,C
2026,1,4,32,C
2026,1,5,6,C
2026,1,6,18,C
2026,1,7,2,C
2026,1,8,1,C
2026,1,9,12,C
2026,1,10,14,C
2026,1,11,2,C
2026,1,12,41,C
2026,1,13,6,C
2026,1,14,9,C
2026,1,15,22,C
2026,1,16,6,C
2026,1,17,7,C
2026,1,18,9,C
2026,1,19,20,C
2026,1,20,75,C
2026,1,21,90,C
2026,1,22,88,C
2026,1,23,87,C
2026,1,24,44,C
2026,1,25,63,C
2026,1,26,80,C
2026,1,27,72,C
2026,1,28,71,C
2026,1,29,78,C
2026,1,30,92,C
2026,1,31,97,C
2026,2,1,92,C
2026,2,2,34,C
2026,2,3,83,C
2026,2,4,54,C
2026,2,5,47,C
2026,2,6,19,C
2026,2,7,77,C
2026,2,8,81,C
2026,2,9,79,C
2026,2,10,83,C
2026,2,11,45,C
2026,2,12,78,C
2026,2,13,35,C
2026,2,14,25,C
2026,2,15,48,C
2026,2,16,52,C
2026,2,17,91,C
2026,2,18,58,C
2026,2,19,59,C
2026,2,20,33,C
2026,2,21,44,C
2026,2,22,51,C
2026,2,23,67,C
2026,2,24,83,C
2026,2,25,79,C
2026,2,26,92,C
2026,2,27,88,C
2026,2,28,90,C
2026,3,1,91,C
2026,3,2,90,C
2026,3,3,95,C
2026,3,4,98,C
2026,3,5,78,C
2026,3,6,73,C
2026,3,7,42,C
2026,3,8,46,C
2026,3,9,79,C
2026,3,10,90,C
2026,3,11,79,C
2026,3,12,16,C
2026,3,13,23,C
2026,3,14,11,C
2026,3,15,15,C
2026,3,16,23,C
2026,3,17,70,C
2026,3,18,39,C
2026,3,19,19,C
2026,3,20,92,C
2026,3,21,95,C
2026,3,22,53,C
2026,3,23,37,C
2026,3,24,68,C
2026,3,25,22,C
2026,3,26,77,C
2026,3,27,85,C
2026,3,28,86,C
2026,3,29,87,C
2026,3,30,76,C
2026,3,31,81,C
2026,4,1,85,C
2026,4,2,92,C
2026,4,3,88,C
2026,4,4,84,C
2026,4,5,93,C
2026,4,6,90,C
2026,4,7,89,C
2026,4,8,92,C
2026,4,9,72,C
2026,4,10,80,C
2026,4,11,88,C
2026,4,12,81,C
2026,4,13,72,C
2026,4,14,70,C
2026,4,15,49,C
2026,4,16,47,C
2026,4,17,68,C
2026,4,18,24,C
2026,4,19,42,C
2026,4,20,76,C
2026,4,21,73,C
2026,4,22,72,C
2026,4,23,86,C
2026,4,24,94,C
2026,4,25,88,C
2026,4,26,65,C
2026,4,27,83,C
2026,4,28,86,C
2026,4,29,89,C
2026,4,30,65,C
2026,5,1,82,C
2026,5,2,83,C
2026,5,3,89,C
2026,5,4,90,C
2026,5,5,97,C
2026,5,6,88,C
2026,5,7,56,C
2026,5,8,81,C
2026,5,9,89,C
2026,5,10,78,C
2026,5,11,73,C
2026,5,12,81,C
2026,5,13,73,C
2026,5,14,86,C
2026,5,15,92,C
2026,5,16,92,C
2026,5,17,93,C
2026,5,18,88,C
2026,5,19,90,C
2026,5,20,88,C
2026,5,21,92,C
2026,5,22,88,C
2026,5,23,86,C
2026,5,24,87,C
2026,5,25,83,C
2026,5,26,85,C
2026,5,27,83,C
2026,5,28,46,C
2026,5,29,55,C
2026,5,30,70,C
2026,5,31,79,C
2026,6,1,79,C
2026,6,2,74,C
2026,6,3,71,C
2026,6,4,44,C
2026,6,5,72,C
2026,6,6,86,C
2026,6,7,88,C
2026,6,8,90,C
2026,6,9,88,C
2026,6,10,85,C
2026,6,11,88,C
2026,6,12,84,C
2026,6,13,89,C
2026,6,14,97,C
2026,6,15,96,C
2026,6,16,98,C
2026,6,17,89,C
2026,6,18,93,C
2026,6,19,88,C
2026,6,20,88,C
2026,6,21,81,C
2026,6,22,56,C
2026,6,23,69,C
2026,6,24,82,C
2026,6,25,87,C
2026,6,26,87,C
2026,6,27,86,C
2026,6,28,89,C
2026,6,29,85,C
2026,6,30,85,C
2026,7,1,87,C
2026,7,2,86,C
2026,7,3,87,C
2026,7,4,91,C
2026,7,5,84,C
2026,7,6,88,C
2026,7,7,90,C
2026,7,8,87,C
2026,7,9,85,C
2026,7,10,78,C
2026,7,11,30,C
2026,7,12,55,C
2026,7,13,83,C
2026,7,14,90,C
2026,7,15,91,C
2026,7,16,92,C
2026,7,17,88,C
2026,7,18,88,C
2026,7,19,83,C
2026,7,20,92,C
2026,7,21,78,C
2026,7,22,53,C
2026,7,23,44,C
2026,7,24,37,C
2026,7,25,88,C
2026,7,26,97,C
2026,7,27,87,C
2026,7,28,90,C
2026,7,29,90,C
2026,7,30,89,C
2026,7,31,93,C
2026,8,1,90,C
2026,8,2,96,C
2026,8,3,90,C
2026,8,4,87,C
2026,8,5,83,C
2026,8,6,32,C
2026,8,7,38,C
2026,8,8,36,C
2026,8,9,55,C
2026,8,10,58,C
2026,8,11,49,C
2026,8,12,72,C
2026,8,13,86,C
2026,8,14,89,C
2026,8,15,89,C
2026,8,16,53,C
2026,8,17,82,C
2026,8,18,87,C
2026,8,19,79,C
2026,8,20,89,C
2026,8,21,86,C
2026,8,22,88,C
2026,8,23,88,C
2026,8,24,87,C
2026,8,25,88,C
2026,8,26,88,C
2026,8,27,91,C
2026,8,28,88,C
2026,8,29,88,C
2026,8,30,87,C
2026,8,31,88,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
